#代码	名称	总手	现手	金额	所属行业	市净率	总股本	总市值
600725	云维股份	2.24万	6	795万	 化工行业	1.64	6.16亿	21.9亿
600096	云天化	8.69万	0	8627万	 化工行业	1.43	11.3亿	112亿
000903	云内动力	7.05万	591	3313万	 机械行业	1.18	6.81亿	31.6亿
002428	云南锗业	9.37万	855	1.25亿	 有色金属	5.95	6.53亿	86.5亿
002053	云南盐化	1.18万	58	914万	 化工行业	1.78	1.86亿	14.3亿
000878	云南铜业	3.46万	145	2542万	 有色金属	1.91	14.2亿	104亿
002059	云南旅游	1.15万	645	999万	 旅游酒店	1.95	3.12亿	27.1亿
600239	云南城投	11.6万	24	5258万	 房地产	1.06	8.23亿	37.4亿
000538	云南白药	5.37万	720	4.34亿	 医药行业	6.63	6.94亿	562亿
600792	云煤能源	4.46万	0	3877万	 煤炭采选	1.34	4.95亿	42.5亿
000807	云铝股份	4.63万	143	1537万	 有色金属	1.36	15.4亿	50.8亿
002182	云海金属	5.64万	217	4499万	 有色金属	2.51	2.88亿	22.8亿
600805	悦达投资	63.3万	0	6.80亿	 汽车行业	1.81	8.51亿	88.7亿
000573	粤宏远Ａ	3.38万	100	1635万	 房地产	1.92	6.23亿	30.1亿
000429	粤高速Ａ	4.55万	242	1369万	 高速公路	0.88	12.6亿	37.5亿
000539	粤电力Ａ	15.4万	482	7682万	 电力行业	1.17	43.8亿	217亿
002060	粤 水 电	50.7万	2024	2.75亿	 工程建设	1.42	6.01亿	34.2亿
002181	粤 传 媒	13.9万	1063	2.56亿	 文化传媒	3.37	6.92亿	127亿
000819	岳阳兴长	1.24万	15	2342万	 石油行业	6.76	2.13亿	40.1亿
600963	岳阳林纸	10.1万	32	3217万	 造纸印刷	0.64	10.4亿	33.4亿
002725	跃岭股份	6.96万	659	2.31亿	 汽车行业	4.26	1.00亿	33.0亿
000683	远兴能源	5.13万	326	1897万	 化工行业	1.29	7.68亿	28.2亿
002063	远光软件	7.26万	1312	1.57亿	 电子信息	6.80	4.62亿	99.2亿
300306	远方光电	1.08万	33	2691万	 仪器仪表	3.13	1.20亿	29.6亿
000681	远东股份	13.2万	1793	3.24亿	 文化传媒	33.42	1.99亿	49.9亿
600869	远东电缆	6.87万	128	6249万	 输配电气	3.08	9.90亿	89.1亿
002406	远东传动	7.44万	787	7380万	 机械行业	1.32	2.81亿	27.4亿
002692	远程电缆	2.47万	336	2082万	 输配电气	2.29	3.26亿	27.3亿
002161	远 望 谷	12.6万	1721	1.05亿	 电子信息	4.23	7.40亿	61.0亿
600766	园城黄金	3.46万	0	3867万	 综合行业	107.19	2.24亿	25.1亿
300174	元力股份	9071	394	1001万	 化工行业	3.03	1.36亿	15.1亿
600655	豫园商城	6.38万	0	5009万	 商业百货	1.77	14.4亿	112亿
001896	豫能控股	13.8万	1219	1.03亿	 电力行业	5.42	6.23亿	46.1亿
300064	豫金刚石	4.74万	219	2645万	 材料行业	2.41	6.08亿	33.7亿
600531	豫光金铅	2.70万	0	2489万	 有色金属	1.83	2.95亿	27.1亿
300305	裕兴股份	4181	15	683万	 材料行业	1.99	1.44亿	23.5亿
002437	誉衡药业	9603	21	4329万	 医药行业	5.46	2.80亿	125亿
002177	御银股份	22.5万	1590	1.41亿	 电子信息	3.12	7.61亿	47.0亿
601028	玉龙股份	2.94万	0	4715万	 钢铁行业	2.58	3.20亿	51.3亿
600066	宇通客车	12.0万	0	2.10亿	 汽车行业	2.84	12.7亿	221亿
002289	宇顺电子	9023	103	1612万	 电子元件	1.67	1.62亿	28.8亿
000565	渝三峡Ａ	4.91万	528	3934万	 化工行业	2.31	1.73亿	13.8亿
000514	渝 开 发	54.0万	1.02万	2.65亿	 房地产	1.57	8.44亿	41.8亿
002223	鱼跃医疗	----	----	----	 医药行业	11.17	5.32亿	163亿
600827	友谊股份	15.8万	0	1.44亿	 商业百货	1.20	17.2亿	156亿
000584	友利控股	4.72万	483	5302万	 化纤行业	2.21	4.09亿	45.4亿
600778	友好集团	3.08万	0	2613万	 商业百货	1.57	3.11亿	26.4亿
002718	友邦吊顶	2.05万	207	1.33亿	 木业家具	8.53	5160万	32.9亿
002277	友阿股份	10.5万	1790	1.25亿	 商业百货	2.55	5.59亿	65.8亿
600206	有研硅股	2.74万	0	6154万	 电子元件	3.31	4.19亿	92.6亿
300099	尤洛卡	2.15万	127	2613万	 仪器仪表	3.43	2.07亿	25.6亿
002427	尤夫股份	4.75万	1081	3738万	 化纤行业	1.94	2.38亿	18.8亿
600588	用友软件	11.4万	1	2.49亿	 电子信息	7.88	9.59亿	207亿
002014	永新股份	4.26万	245	3774万	 造纸印刷	1.94	3.26亿	28.8亿
002326	永太科技	4.79万	1451	6874万	 化工行业	3.49	2.40亿	35.1亿
600157	永泰能源	27.3万	0	1.21亿	 煤炭采选	0.91	17.7亿	78.8亿
300187	永清环保	2.08万	349	6174万	 公用事业	6.98	2.00亿	59.1亿
300230	永利带业	1.61万	136	1475万	 塑胶制品	2.79	1.62亿	14.7亿
601933	永辉超市	9.55万	64	1.27亿	 商业百货	3.70	16.3亿	219亿
300351	永贵电器	8613	57	2409万	 交运设备	3.29	1.02亿	28.7亿
002641	永高股份	2.19万	385	2434万	 塑胶制品	2.00	3.60亿	39.7亿
600105	永鼎股份	5.70万	0	4455万	 通讯行业	2.10	3.81亿	29.7亿
002622	永大集团	1.62万	461	2446万	 输配电气	1.89	1.50亿	22.2亿
002365	永安药业	4.98万	577	5187万	 医药行业	1.79	1.87亿	19.4亿
000663	永安林业	----	----	----	 木业家具	7.35	2.03亿	24.7亿
300377	赢时胜	2.58万	273	1.10亿	 电子信息	6.56	5535万	23.4亿
600317	营口港	1.62万	21	531万	 港口水运	0.73	21.6亿	70.3亿
603308	应流股份	32.5万	0	4.60亿	 机械行业	3.32	4.00亿	54.6亿
002334	英威腾	3.29万	187	5377万	 输配电气	4.59	3.56亿	58.2亿
000411	英特集团	2.85万	529	3445万	 医药行业	4.70	2.07亿	25.1亿
300131	英唐智控	4.79万	418	5771万	 电子元件	4.96	2.05亿	24.7亿
002528	英飞拓	14.2万	1669	2.77亿	 电子信息	3.12	3.54亿	67.0亿
000635	英 力 特	2.39万	798	2177万	 化工行业	1.01	3.03亿	27.5亿
300221	银禧科技	2.01万	32	1346万	 塑胶制品	1.96	2.00亿	13.3亿
600858	银座股份	3.36万	22	2287万	 商业百货	1.28	5.20亿	35.2亿
300085	银之杰	----	----	----	 电子信息	6.99	1.21亿	35.8亿
000981	银亿股份	2.02万	444	1778万	 房地产	1.88	8.59亿	74.8亿
000862	银星能源	5.02万	405	3812万	 输配电气	7.64	2.83亿	21.1亿
300231	银信科技	3.42万	95	7050万	 电子信息	7.27	1.20亿	24.7亿
000975	银泰资源	5.17万	375	4440万	 有色金属	2.49	10.9亿	92.5亿
000526	银润投资	1.72万	92	3579万	 房地产	12.55	9620万	20.0亿
002126	银轮股份	6.02万	534	7287万	 汽车行业	3.00	3.28亿	39.5亿
