#代码	名称	总手	现手	金额	所属行业	市净率	总股本	总市值
002128	露天煤业	5.82万	420	3798万	 煤炭采选	1.38	13.3亿	86.8亿
600784	鲁银投资	5.34万	273	2819万	 钢铁行业	2.24	5.68亿	29.9亿
002088	鲁阳股份	----	----	----	 玻璃陶瓷	1.39	2.34亿	20.7亿
600783	鲁信创投	2.31万	1	3584万	 材料行业	3.79	7.44亿	115亿
000830	鲁西化工	10.0万	965	3847万	 化工行业	1.00	14.6亿	56.0亿
600223	鲁商置业	2.56万	5	872万	 房地产	2.03	10.0亿	33.8亿
600789	鲁抗医药	8.34万	0	4208万	 医药行业	1.99	5.82亿	29.3亿
002379	鲁丰环保	12.8万	1085	9062万	 材料行业	1.94	4.63亿	32.3亿
600727	鲁北化工	----	----	----	 化工行业	1.59	3.51亿	16.3亿
000726	鲁  泰Ａ	6.46万	2419	6034万	 纺织服装	1.55	9.56亿	87.6亿
603766	隆鑫通用	4.07万	0	4165万	 机械行业	2.35	8.00亿	82.0亿
000998	隆平高科	4.71万	571	1.09亿	 农牧饲渔	4.00	4.98亿	114亿
002363	隆基机械	5585	31	967万	 汽车行业	2.04	1.49亿	25.9亿
601012	隆基股份	7.78万	0	9945万	 材料行业	2.33	5.39亿	68.4亿
300263	隆华节能	3.17万	414	1.25亿	 机械行业	5.37	1.91亿	76.6亿
002682	龙洲股份	3.31万	252	2673万	 交运物流	1.56	2.08亿	16.8亿
300105	龙源技术	1.14万	85	2372万	 机械行业	3.16	2.85亿	59.4亿
600491	龙元建设	4.97万	316	1710万	 工程建设	1.08	9.48亿	32.3亿
603003	龙宇燃油	24.1万	0	3.54亿	 石油行业	3.73	2.02亿	29.0亿
002442	龙星化工	1.85万	143	762万	 化工行业	1.75	4.80亿	19.8亿
600592	龙溪股份	6.85万	60	5812万	 机械行业	1.78	4.00亿	33.4亿
600630	龙头股份	7.52万	5	7707万	 纺织服装	2.78	4.25亿	43.2亿
002625	龙生股份	2.92万	748	3698万	 汽车行业	3.36	1.16亿	14.5亿
002671	龙泉股份	1.84万	412	3198万	 水泥建材	2.98	2.18亿	37.7亿
002604	龙力生物	3.78万	98	6191万	 食品行业	2.26	2.42亿	39.7亿
600388	龙净环保	13.0万	0	4.33亿	 机械行业	5.27	4.28亿	141亿
601188	龙江交通	1.54万	4	355万	 高速公路	1.03	13.2亿	30.3亿
600853	龙建股份	1.54万	17	404万	 工程建设	1.79	5.37亿	14.1亿
600470	六国化工	6.33万	40	3809万	 化工行业	1.37	5.22亿	31.0亿
600423	柳化股份	1.48万	239	602万	 化工行业	1.13	3.99亿	16.2亿
601003	柳钢股份	1.18万	50	242万	 钢铁行业	0.96	25.6亿	52.0亿
000528	柳    工	5.76万	1164	3363万	 机械行业	0.70	11.3亿	65.4亿
002717	岭南园林	7.69万	1714	4.35亿	 木业家具	7.38	8572万	47.0亿
600480	凌云股份	5.41万	0	3801万	 塑胶制品	1.34	3.62亿	25.2亿
600231	凌钢股份	1.95万	0	584万	 钢铁行业	0.63	8.04亿	24.1亿
600285	羚锐制药	4.66万	60	4655万	 医药行业	3.71	3.57亿	35.3亿
000007	零七股份	2.38万	845	3027万	 旅游酒店	9.89	2.31亿	29.3亿
002535	林州重机	37.2万	1676	3.80亿	 机械行业	2.46	5.37亿	53.1亿
601222	林洋电子	1.64万	0	3235万	 仪器仪表	2.86	3.55亿	69.9亿
600099	林海股份	1.50万	0	806万	 交运设备	2.46	2.19亿	11.7亿
600739	辽宁成大	12.0万	21	1.78亿	 商业百货	1.83	13.6亿	201亿
300149	量子高科	4.33万	399	5080万	 食品行业	3.66	2.01亿	23.4亿
600249	两面针	4.45万	0	2355万	 化工行业	1.30	4.50亿	23.8亿
002706	良信电器	4.69万	1107	1.68亿	 输配电气	4.29	8614万	31.4亿
000697	炼石有色	5.27万	755	6340万	 有色金属	10.79	4.81亿	58.3亿
601008	连云港	5.55万	40	2012万	 港口水运	1.15	10.2亿	36.3亿
600186	莲花味精	4.33万	1521	1073万	 食品行业	3.60	10.6亿	26.3亿
002373	联信永益	2.19万	196	3602万	 电子信息	4.64	1.37亿	22.5亿
600167	联美控股	1.67万	0	1739万	 电力行业	2.71	2.11亿	22.0亿
300269	联建光电	1.35万	123	4557万	 电子元件	6.80	1.18亿	39.0亿
600513	联环药业	2.63万	0	3007万	 医药行业	4.29	1.57亿	17.8亿
002250	联化科技	4.59万	203	8498万	 化工行业	3.82	5.25亿	96.2亿
002217	联合化工	4.08万	557	2683万	 化工行业	2.63	3.34亿	21.8亿
002394	联发股份	2.83万	493	4601万	 纺织服装	1.50	2.16亿	35.0亿
300343	联创节能	3047	60	1968万	 化工行业	5.66	4000万	25.7亿
600363	联创光电	28.8万	30	2.93亿	 电子元件	2.79	4.43亿	44.4亿
300184	力源信息	1.53万	287	2276万	 电子元件	3.46	1.00亿	15.0亿
002393	力生制药	1.26万	279	4583万	 医药行业	2.28	1.82亿	66.0亿
000532	力合股份	3.29万	1042	5111万	 综合行业	7.90	3.45亿	53.1亿
601777	力帆股份	3.82万	1	2494万	 交运设备	1.27	10.1亿	65.5亿
002475	立讯精密	8.03万	144	2.97亿	 电子元件	8.40	5.47亿	195亿
300010	立思辰	1271	3	166万	 电子信息	4.15	2.63亿	34.4亿
002501	利源精制	4.07万	241	5915万	 水泥建材	2.19	4.68亿	67.8亿
300296	利亚德	9073	29	1897万	 电子元件	4.50	1.50亿	31.3亿
002131	利欧股份	----	----	----	 机械行业	4.16	3.76亿	62.9亿
002651	利君股份	6982	200	1281万	 机械行业	4.01	4.01亿	72.2亿
002258	利尔化学	1.00万	91	1317万	 化工行业	2.43	2.02亿	26.4亿
300289	利德曼	9548	271	2779万	 医药行业	5.34	1.54亿	44.7亿
002189	利达光电	5.20万	175	4597万	 电子元件	3.56	1.99亿	17.5亿
000513	丽珠集团	1.05万	60	4981万	 医药行业	4.37	2.96亿	142亿
002374	丽鹏股份	2.83万	551	2130万	 有色金属	1.78	1.91亿	14.4亿
002033	丽江旅游	3.24万	223	4231万	 旅游酒店	2.11	2.82亿	36.9亿
002322	理工监测	3.02万	219	3937万	 输配电气	3.13	2.83亿	36.8亿
300206	理邦仪器	1.35万	99	4021万	 医药行业	3.27	1.30亿	38.4亿
600629	棱光实业	8.83万	0	9276万	 玻璃陶瓷	4.64	3.48亿	35.9亿
600985	雷鸣科化	6153	1	711万	 化工行业	2.08	1.75亿	20.2亿
300162	雷曼光电	2.84万	408	4604万	 电子元件	2.95	1.34亿	21.7亿
002577	雷柏科技	5.63万	517	1.46亿	 电子信息	5.24	2.83亿	73.2亿
002319	乐通股份	9.95万	611	8217万	 化工行业	2.99	2.00亿	16.4亿
300104	乐视网	10.5万	608	4.88亿	 文化传媒	24.52	7.98亿	368亿
600644	乐山电力	2.75万	0	2038万	 电力行业	3.13	3.26亿	24.1亿
300003	乐普医疗	8.51万	1092	1.60亿	 医药行业	5.49	8.12亿	150亿
600135	乐凯胶片	3.58万	0	3017万	 材料行业	2.91	3.42亿	28.6亿
600612	老凤祥	5.62万	0	1.46亿	 工艺商品	4.39	5.23亿	135亿
002508	老板电器	2.27万	300	7643万	 家电行业	4.55	2.56亿	85.8亿
600559	老白干酒	3.06万	0	6429万	 酿酒行业	4.83	1.40亿	29.7亿
600137	浪莎股份	9144	0	1053万	 纺织服装	2.42	9722万	11.1亿
000977	浪潮信息	3.07万	491	1.67亿	 电子信息	11.38	2.15亿	116亿
600756	浪潮软件	7.83万	3	1.14亿	 电子信息	5.57	2.79亿	40.3亿
002612	朗姿股份	2.30万	66	5403万	 纺织服装	2.01	2.00亿	46.5亿
300175	朗源股份	7.24万	437	3015万	 农牧饲渔	2.72	4.71亿	19.6亿
300288	朗玛信息	1.29万	121	7598万	 电子信息	12.39	1.07亿	63.7亿
300042	朗科科技	1.54万	100	2003万	 电子信息	2.13	1.34亿	17.3亿
600149	廊坊发展	26.1万	70	1.71亿	 电子信息	7.73	3.80亿	24.2亿
600738	兰州民百	3.03万	50	1808万	 商业百货	2.19	3.69亿	22.0亿
000929	兰州黄河	1.77万	197	1441万	 酿酒行业	2.45	1.86亿	15.1亿
600328	兰太实业	5.23万	0	3999万	 化工行业	2.17	3.59亿	27.2亿
600826	兰生股份	2.61万	0	3740万	 国际贸易	2.45	4.21亿	59.8亿
600123	兰花科创	15.3万	3	1.26亿	 煤炭采选	0.98	11.4亿	95.2亿
300293	蓝英装备	1.90万	281	3937万	 机械行业	5.61	1.80亿	37.1亿
600299	蓝星新材	6.20万	0	2929万	 化工行业	2.03	5.23亿	24.1亿
300058	蓝色光标	2.53万	1026	1.35亿	 文化传媒	6.47	4.74亿	251亿
601798	蓝科高新	2.13万	0	2542万	 机械行业	2.22	3.55亿	41.9亿
002513	蓝丰生化	2.90万	366	2947万	 化工行业	1.81	2.13亿	21.5亿
002382	蓝帆股份	4.52万	3646	7881万	 塑胶制品	4.29	2.40亿	41.8亿
300297	蓝盾股份	14.2万	1371	3.07亿	 电子信息	6.37	1.96亿	41.9亿
000971	蓝鼎控股	7.80万	1517	4875万	 纺织服装	518.03	2.43亿	15.4亿
000558	莱茵置业	14.7万	1428	7504万	 房地产	3.68	6.30亿	31.6亿
002166	莱茵生物	5.46万	759	9476万	 医药行业	12.35	1.30亿	22.4亿
300006	莱美药业	1.78万	128	5407万	 医药行业	5.74	2.02亿	62.1亿
002106	莱宝高科	13.5万	637	1.86亿	 电子元件	2.36	7.06亿	96.6亿
600422	昆明制药	11.6万	0	3.07亿	 医药行业	5.43	3.41亿	91.7亿
600806	昆明机床	5.79万	20	2757万	 机械行业	2.00	5.31亿	25.1亿
000560	昆百大Ａ	8125	130	685万	 商业百货	1.40	1.71亿	14.5亿
600463	空港股份	5.91万	4	5079万	 房地产	2.86	2.52亿	21.8亿
002661	克明面业	1.01万	88	3367万	 食品行业	4.10	8308万	28.2亿
002380	科远股份	4660	39	1566万	 电子信息	2.52	6800万	22.8亿
300092	科新机电	5678	100	649万	 机械行业	2.02	9100万	10.3亿
300153	科泰电源	1.13万	138	1202万	 输配电气	1.83	1.60亿	16.8亿
300192	科斯伍德	4.95万	411	7812万	 化工行业	2.82	1.10亿	17.2亿
002518	科士达	7.96万	1432	2.22亿	 输配电气	4.30	2.12亿	60.6亿
002354	科冕木业	7.16万	516	3.59亿	 木业家具	9.82	9350万	46.0亿
002422	科伦药业	3.51万	662	1.50亿	 医药行业	2.16	4.80亿	206亿
002121	科陆电子	21.7万	1092	2.38亿	 电子元件	3.22	4.01亿	43.1亿
002499	科林环保	4.43万	368	1.27亿	 机械行业	4.90	1.13亿	32.2亿
600478	科力远	2.63万	1	6252万	 电子元件	7.71	3.15亿	74.6亿
002022	科华生物	6.97万	648	1.56亿	 医药行业	10.23	4.92亿	111亿
002335	科华恒盛	2.16万	321	3621万	 输配电气	3.68	2.20亿	36.7亿
300340	科恒股份	2.04万	223	3391万	 有色金属	1.79	1.00亿	16.5亿
300222	科大智能	3.14万	667	7738万	 输配电气	4.43	1.08亿	26.9亿
002230	科大讯飞	4.58万	191	2.36亿	 电子信息	7.54	4.68亿	239亿
600499	科达机电	11.4万	0	2.43亿	 机械行业	4.63	6.88亿	144亿
600986	科达股份	2.73万	10	1247万	 工程建设	2.17	3.35亿	15.3亿
300086	康芝药业	2.37万	389	3723万	 医药行业	1.79	2.00亿	31.0亿
600557	康缘药业	2.21万	0	6706万	 医药行业	6.88	4.16亿	126亿
002418	康盛股份	10.3万	950	7737万	 材料行业	1.48	2.29亿	17.2亿
002119	康强电子	----	----	----	 电子元件	2.49	2.06亿	17.7亿
300061	康耐特	1.64万	130	2266万	 塑胶制品	3.42	9600万	13.1亿
600518	康美药业	14.7万	33	2.49亿	 医药行业	3.19	22.0亿	369亿
002367	康力电梯	2.32万	845	3539万	 机械行业	3.35	3.70亿	56.1亿
600572	康恩贝	----	----	----	 医药行业	4.62	8.10亿	109亿
002450	康得新	10.1万	1229	2.08亿	 材料行业	5.41	9.37亿	192亿
002669	康达新材	8967	18	1386万	 材料行业	2.81	1.00亿	15.4亿
000048	康达尔	3.24万	464	3751万	 农牧饲渔	10.15	3.91亿	45.6亿
002425	凯撒股份	3.06万	104	3210万	 纺织服装	2.78	3.90亿	40.9亿
600398	凯诺科技	6.81万	6	6486万	 纺织服装	2.87	6.47亿	61.3亿
002549	凯美特气	3.15万	438	7026万	 化工行业	7.71	2.70亿	60.2亿
300326	凯利泰	1.06万	85	7501万	 医药行业	11.14	7688万	53.8亿
600260	凯乐科技	42.5万	0	3.41亿	 塑胶制品	2.28	5.28亿	41.2亿
002012	凯恩股份	20.3万	1983	1.16亿	 造纸印刷	2.30	4.68亿	26.5亿
000939	凯迪电力	18.0万	824	1.35亿	 电力行业	2.64	9.43亿	69.7亿
300338	开元仪器	4.85万	568	9462万	 仪器仪表	2.44	9000万	17.6亿
000516	开元投资	35.4万	3258	2.62亿	 商业百货	4.13	7.13亿	52.2亿
300257	开山股份	1.19万	1160	4757万	 机械行业	5.56	4.29亿	172亿
300272	开能环保	2.93万	219	4569万	 机械行业	6.01	1.89亿	29.1亿
600997	开滦股份	5.72万	0	2570万	 煤炭采选	0.80	12.3亿	55.6亿
600272	开开实业	6.16万	0	6873万	 纺织服装	7.27	2.43亿	26.3亿
300234	开尔新材	1551	25	466万	 材料行业	8.67	1.20亿	35.7亿
600097	开创国际	2.22万	0	2706万	 农牧饲渔	2.92	2.03亿	24.8亿
002656	卡奴迪路	1.67万	81	2538万	 纺织服装	2.53	2.00亿	30.2亿
600699	均胜电子	4.61万	0	1.32亿	 汽车行业	8.47	6.36亿	183亿
300360	炬华科技	4.94万	390	3.42亿	 仪器仪表	7.91	7928万	54.0亿
002444	巨星科技	5.62万	1135	6291万	 材料行业	3.32	10.1亿	114亿
002031	巨轮股份	5.24万	471	4651万	 汽车行业	2.41	4.72亿	41.5亿
002619	巨龙管业	----	----	----	 水泥建材	2.79	1.22亿	17.1亿
002342	巨力索具	2.37万	327	1302万	 材料行业	2.21	9.60亿	52.4亿
600160	巨化股份	13.5万	110	7038万	 化工行业	1.26	18.1亿	93.8亿
300202	聚龙股份	3827	203	1426万	 机械行业	13.59	3.05亿	114亿
300203	聚光科技	3.16万	161	5951万	 仪器仪表	4.54	4.45亿	83.5亿
300303	聚飞光电	2.30万	271	5204万	 电子元件	5.62	2.18亿	49.6亿
600307	酒钢宏兴	3.09万	30	706万	 钢铁行业	0.74	62.6亿	142亿
000799	酒 鬼 酒	8.46万	1474	9657万	 酿酒行业	2.02	3.25亿	36.8亿
300040	九洲电气	6.81万	482	5240万	 输配电气	1.68	2.78亿	21.2亿
600998	九州通	5.66万	5	9944万	 医药行业	5.10	14.2亿	248亿
002242	九阳股份	8.64万	1099	1.08亿	 家电行业	3.30	7.61亿	95.0亿
601566	九牧王	5.75万	0	7163万	 纺织服装	1.63	5.78亿	72.0亿
002411	九九久	5.85万	782	6296万	 化工行业	4.47	3.48亿	37.3亿
002201	九鼎新材	2.86万	516	2344万	 玻璃陶瓷	3.36	1.76亿	14.3亿
002432	九安医疗	18.3万	1610	3.96亿	 医药行业	10.65	3.72亿	81.0亿
000989	九 芝 堂	5.58万	312	7798万	 医药行业	2.74	2.98亿	41.3亿
002279	久其软件	2.29万	321	3438万	 电子信息	4.00	1.76亿	26.2亿
002037	久联发展	2.28万	223	2171万	 化工行业	1.82	3.27亿	31.1亿
002318	久立特材	5.58万	558	1.08亿	 钢铁行业	3.44	3.12亿	59.9亿
000552	靖远煤电	17.6万	3022	1.57亿	 煤炭采选	2.61	7.19亿	64.8亿
002067	景兴纸业	5.50万	262	1156万	 造纸印刷	0.79	10.9亿	22.9亿
000666	经纬纺机	----	----	----	 机械行业	1.39	7.04亿	68.7亿
300120	经纬电材	1.79万	107	1560万	 输配电气	2.45	1.72亿	14.9亿
002295	精艺股份	3.60万	464	2303万	 有色金属	1.64	2.12亿	13.6亿
600355	精伦电子	4.58万	7	2893万	 电子元件	3.48	2.46亿	15.4亿
002349	精华制药	1.93万	125	3597万	 医药行业	5.58	2.00亿	37.4亿
002006	精功科技	5.85万	608	4216万	 机械行业	3.46	4.55亿	32.8亿
600496	精工钢构	4.71万	150	3302万	 水泥建材	1.82	5.87亿	40.6亿
300258	精锻科技	2.01万	367	2715万	 汽车行业	2.32	1.80亿	24.2亿
600577	精达股份	7.25万	0	3135万	 材料行业	1.89	7.10亿	30.9亿
002171	精诚铜业	2.06万	989	1535万	 有色金属	4.06	3.26亿	24.6亿
601908	京运通	7.61万	18	6943万	 机械行业	2.11	8.60亿	78.0亿
002020	京新药业	8.42万	2071	1.48亿	 医药行业	5.58	2.53亿	45.6亿
002662	京威股份	----	----	----	 汽车行业	1.86	6.00亿	49.3亿
600683	京投银泰	1.76万	40	722万	 房地产	1.76	7.41亿	30.4亿
000821	京山轻机	2.60万	177	1004万	 机械行业	1.26	3.45亿	13.3亿
600791	京能置业	2.03万	200	945万	 房地产	1.65	4.53亿	21.1亿
600578	京能电力	64.1万	0	2.68亿	 电力行业	1.56	46.2亿	199亿
000725	京东方Ａ	97.5万	1.83万	2.29亿	 电子元件	1.16	135亿	316亿
600860	京城股份	1.21万	0	761万	 机械行业	4.84	4.22亿	26.8亿
300316	晶盛机电	8.72万	309	1.75亿	 机械行业	3.20	2.67亿	53.6亿
603005	晶方科技	4.67万	0	1.81亿	 电子信息	6.39	2.27亿	88.0亿
300083	劲胜股份	4.87万	607	9567万	 塑胶制品	2.86	2.00亿	39.6亿
002191	劲嘉股份	5.91万	298	1.14亿	 造纸印刷	4.46	6.42亿	121亿
601002	晋亿实业	25.0万	0	2.01亿	 机械行业	2.84	7.93亿	63.3亿
600495	晋西车轴	5.91万	0	7583万	 交运设备	1.83	4.20亿	53.3亿
600190	锦州港	8497	0	322万	 港口水运	1.33	20.0亿	75.1亿
000712	锦龙股份	5.05万	1000	1.56亿	 纺织服装	6.31	4.48亿	141亿
600650	锦江投资	6.09万	0	6338万	 交运物流	2.59	5.52亿	56.5亿
600754	锦江股份	1.64万	3	2440万	 旅游酒店	2.13	6.03亿	89.8亿
300128	锦富新材	3.38万	227	4405万	 电子元件	4.04	4.09亿	52.8亿
600821	津劝业	9.59万	23	4969万	 商业百货	3.65	4.16亿	21.2亿
300334	津膜科技	1.03万	127	3719万	 材料行业	8.50	1.74亿	62.6亿
000897	津滨发展	97.9万	1.39万	6.38亿	 房地产	6.22	16.2亿	103亿
601958	金钼股份	6.46万	0	4187万	 有色金属	1.58	32.3亿	207亿
002515	金字火腿	1.56万	79	2273万	 食品行业	2.44	1.43亿	20.8亿
600560	金自天正	3.06万	81	2937万	 机械行业	3.09	2.24亿	21.5亿
002443	金洲管道	9.59万	1635	7646万	 钢铁行业	1.85	4.34亿	34.7亿
600199	金种子酒	14.7万	0	1.21亿	 酿酒行业	1.99	5.56亿	46.1亿
002090	金智科技	1.48万	167	1900万	 电子信息	4.56	2.04亿	25.9亿
600446	金证股份	9.60万	0	2.29亿	 电子信息	10.31	2.63亿	64.5亿
002470	金正大	2.51万	280	5302万	 化工行业	3.62	7.00亿	146亿
300220	金运激光	1.62万	95	3792万	 电子元件	5.58	7000万	16.3亿
600201	金宇集团	8667	5	2369万	 医药行业	6.22	2.81亿	76.7亿
000803	金宇车城	7442	100	597万	 综合行业	9.32	1.28亿	10.2亿
601992	金隅股份	23.6万	37	1.26亿	 水泥建材	0.95	42.8亿	231亿
600232	金鹰股份	5.66万	291	3093万	 纺织服装	1.65	3.65亿	19.6亿
002721	金一文化	12.7万	1128	3.58亿	 有色金属	6.01	1.67亿	47.4亿
000587	金叶珠宝	9.52万	469	1.28亿	 木业家具	6.39	5.57亿	74.9亿
300028	金亚科技	24.9万	636	4.94亿	 文化传媒	7.23	2.65亿	53.7亿
300252	金信诺	1.05万	220	2440万	 输配电气	5.47	1.65亿	37.8亿
002548	金新农	1.01万	158	1305万	 农牧饲渔	2.27	1.41亿	18.1亿
300091	金通灵	3076	20	540万	 机械行业	4.67	2.09亿	36.6亿
600679	金山开发	1.75万	0	2184万	 交运设备	7.56	3.54亿	43.8亿
600396	金山股份	2.47万	50	1752万	 电力行业	1.65	4.34亿	30.8亿
600714	金瑞矿业	22.4万	8	2.26亿	 煤炭采选	6.28	2.73亿	28.5亿
600390	金瑞科技	28.8万	0	4.78亿	 材料行业	7.08	3.91亿	64.7亿
000545	金浦钛业	4.49万	373	4522万	 有色金属	4.07	3.07亿	30.7亿
600722	金牛化工	2.62万	57	1058万	 化工行业	2.67	6.80亿	27.4亿
300281	金明精机	9803	208	1251万	 机械行业	2.53	1.20亿	15.2亿
000980	金马股份	10.5万	4448	4955万	 汽车行业	1.25	5.28亿	24.8亿
002722	金轮股份	----	----	----	 机械行业	9.97	1.34亿	52.0亿
000510	金路集团	19.1万	1347	1.13亿	 化工行业	3.76	6.09亿	35.8亿
600686	金龙汽车	----	----	----	 汽车行业	1.80	4.43亿	38.6亿
300032	金龙机电	3.55万	722	5623万	 电子元件	5.43	2.85亿	45.2亿
000655	金岭矿业	2.47万	111	1706万	 钢铁行业	1.39	5.95亿	40.9亿
000919	金陵药业	8.95万	2188	1.03亿	 医药行业	2.62	5.04亿	56.8亿
601007	金陵饭店	3.66万	0	3103万	 旅游酒店	1.92	3.00亿	25.3亿
300225	金力泰	1.55万	121	2647万	 化工行业	3.02	1.31亿	22.2亿
002464	金利科技	5631	128	891万	 塑胶制品	2.50	1.46亿	23.0亿
300069	金利华电	1.24万	224	1951万	 输配电气	3.87	1.17亿	18.5亿
002624	金磊股份	2.56万	196	1978万	 材料行业	3.05	2.00亿	15.5亿
002723	金莱特	9.46万	2988	3.20亿	 家电行业	4.98	9335万	30.3亿
000656	金科股份	5.10万	529	3962万	 房地产	1.16	11.6亿	90.0亿
300349	金卡股份	3599	53	1857万	 仪器仪表	6.43	9000万	46.1亿
600586	金晶科技	23.6万	0	7804万	 玻璃陶瓷	1.13	14.2亿	46.5亿
600127	金健米业	7.07万	50	3261万	 农牧饲渔	3.25	6.42亿	29.2亿
600080	金花股份	24.3万	10	2.77亿	 医药行业	3.56	3.05亿	35.0亿
000669	金鸿能源	1.28万	214	4300万	 塑胶制品	4.48	2.69亿	89.1亿
002688	金河生物	1.41万	337	3694万	 农牧饲渔	3.23	1.09亿	28.2亿
002597	金禾实业	4.15万	835	4466万	 化工行业	1.67	2.78亿	29.4亿
002716	金贵银业	19.2万	1678	5.41亿	 有色金属	3.92	2.29亿	66.8亿
002488	金固股份	6.86万	791	8112万	 汽车行业	2.33	1.80亿	21.6亿
000408	金谷源	3.64万	1034	2357万	 有色金属	9.19	2.52亿	16.3亿
300093	金刚玻璃	3.09万	290	2230万	 玻璃陶瓷	1.79	2.16亿	15.6亿
002202	金风科技	29.1万	1740	2.96亿	 输配电气	2.08	26.9亿	271亿
600616	金枫酒业	7.66万	28	6460万	 酿酒行业	2.87	4.39亿	36.9亿
600606	金丰投资	----	----	----	 房地产	1.27	5.18亿	27.1亿
600143	金发科技	16.8万	31	9084万	 塑胶制品	1.79	25.6亿	138亿
600383	金地集团	25.9万	9	1.60亿	 房地产	1.17	44.7亿	279亿
002626	金达威	2.45万	955	6623万	 食品行业	3.87	1.80亿	49.5亿
300233	金城医药	2.81万	289	6980万	 医药行业	3.00	1.21亿	29.9亿
000820	金城股份	----	----	----	 造纸印刷	9.64	2.88亿	20.5亿
600609	金杯汽车	9.49万	30	2911万	 汽车行业	8.10	10.9亿	33.0亿
002533	金杯电工	3.22万	466	2301万	 输配电气	1.35	3.36亿	24.0亿
002636	金安国纪	2.68万	344	2408万	 电子元件	1.87	2.80亿	25.0亿
002081	金 螳 螂	7.86万	1823	1.46亿	 工程建设	4.38	11.7亿	219亿
000402	金 融 街	8.14万	2197	3751万	 房地产	0.67	30.3亿	139亿
002239	金 飞 达	12.0万	1006	1.32亿	 纺织服装	3.39	2.01亿	22.1亿
600836	界龙实业	2.55万	30	2205万	 造纸印刷	6.36	3.14亿	26.9亿
002609	捷顺科技	4.34万	224	9713万	 电子信息	5.90	1.84亿	41.0亿
300182	捷成股份	2.27万	277	1.01亿	 电子信息	7.58	2.32亿	105亿
002544	杰赛科技	5.73万	1395	7590万	 通讯行业	4.53	3.44亿	46.1亿
002353	杰瑞股份	1.33万	320	9265万	 机械行业	6.72	6.40亿	449亿
600676	交运股份	12.2万	93	8060万	 汽车行业	1.83	8.62亿	56.6亿
601328	交通银行	44.0万	29	1.64亿	 银行	0.68	743亿	2763亿
600530	交大昂立	4.69万	0	4129万	 医药行业	2.05	3.12亿	27.1亿
000612	焦作万方	10.3万	383	5911万	 有色金属	1.55	11.7亿	65.7亿
002315	焦点科技	2.67万	237	1.36亿	 电子信息	3.46	1.18亿	60.1亿
000852	江钻股份	3.74万	935	7406万	 机械行业	7.18	4.00亿	78.4亿
600750	江中药业	4.62万	0	7880万	 医药行业	2.57	3.11亿	52.5亿
600362	江西铜业	7.14万	0	9261万	 有色金属	1.03	34.6亿	447亿
000789	江西水泥	2.92万	381	2613万	 水泥建材	1.91	4.09亿	36.4亿
600561	江西长运	3.79万	103	4318万	 交运物流	2.00	2.37亿	27.3亿
002176	江特电机	26.9万	2829	3.58亿	 机械行业	6.27	4.24亿	56.0亿
600220	江苏阳光	57.5万	541	1.65亿	 纺织服装	3.23	17.8亿	50.8亿
600200	江苏吴中	14.5万	26	1.72亿	 综合行业	7.81	6.24亿	73.7亿
600746	江苏索普	2.12万	20	1315万	 化工行业	4.49	3.06亿	19.1亿
600287	江苏舜天	3.43万	0	2321万	 商业百货	2.45	4.37亿	29.3亿
002438	江苏神通	3.56万	225	5531万	 机械行业	3.63	2.08亿	31.8亿
002044	江苏三友	3.05万	172	2068万	 纺织服装	3.67	2.24亿	15.0亿
002516	江苏旷达	4.66万	373	6075万	 纺织服装	1.85	2.50亿	32.1亿
002071	江苏宏宝	4.20万	856	1.04亿	 材料行业	14.52	1.84亿	45.6亿
002091	江苏国泰	19.0万	2444	3.31亿	 国际贸易	4.81	3.60亿	64.2亿
002061	江山化工	7.53万	2209	4131万	 化工行业	1.54	3.49亿	19.1亿
600389	江山股份	1.15万	0	4265万	 化工行业	6.39	1.98亿	73.0亿
600212	江泉实业	5.70万	0	1959万	 综合行业	1.74	5.12亿	17.5亿
601199	江南水务	2.13万	3	3283万	 公用事业	1.99	2.34亿	35.7亿
601313	江南嘉捷	2.01万	23	1722万	 机械行业	2.53	4.00亿	34.1亿
002226	江南化工	2.52万	283	2910万	 化工行业	1.83	4.00亿	45.8亿
000519	江南红箭	3.19万	210	4047万	 机械行业	2.69	7.38亿	93.0亿
600527	江南高纤	9.48万	336	5362万	 化纤行业	2.57	8.02亿	44.6亿
000550	江铃汽车	1.17万	150	2673万	 汽车行业	2.22	8.63亿	194亿
600418	江淮汽车	76.1万	0	7.69亿	 汽车行业	1.87	12.8亿	128亿
000816	江淮动力	28.4万	1378	1.33亿	 机械行业	2.98	10.9亿	50.6亿
601886	江河创建	5.75万	0	4207万	 工程建设	1.64	11.5亿	83.9亿
002484	江海股份	4.47万	238	1.29亿	 电子元件	4.16	2.08亿	59.6亿
002600	江粉磁材	----	----	----	 材料行业	2.47	3.18亿	31.4亿
002398	建研集团	1.40万	54	1802万	 工程建设	2.15	2.64亿	33.9亿
000688	建新矿业	3.10万	391	1800万	 有色金属	6.72	11.4亿	65.3亿
300107	建新股份	5724	54	928万	 化工行业	2.67	1.34亿	21.7亿
000600	建投能源	9.52万	339	4946万	 电力行业	1.38	9.14亿	47.1亿
601939	建设银行	21.0万	10	8020万	 银行	0.92	2500亿	9575亿
600984	建设机械	1.05万	20	572万	 机械行业	1.79	2.42亿	13.1亿
000950	建峰化工	2.87万	276	1123万	 化工行业	0.96	5.99亿	23.4亿
